"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","22-Apr-2021","       2397.45","       2390.00","       2390.00","       2332.00","       2352.30","       2349.40","       2348.11","    1721265","          4041719438.75","     108136","     960171","         55.78"
"HINDUNILVR","EQ","23-Apr-2021","       2349.40","       2340.00","       2350.00","       2300.00","       2309.00","       2307.75","       2315.91","    1949756","          4515455722.15","      88011","    1228975","         63.03"
"HINDUNILVR","EQ","26-Apr-2021","       2307.75","       2324.00","       2369.80","       2311.00","       2367.70","       2360.65","       2340.89","    1946867","          4557405484.30","      85684","    1289103","         66.21"
"HINDUNILVR","EQ","27-Apr-2021","       2360.65","       2363.00","       2386.45","       2352.95","       2378.00","       2379.85","       2374.40","    1668456","          3961582930.65","      84641","    1089882","         65.32"
"HINDUNILVR","EQ","28-Apr-2021","       2379.85","       2380.00","       2445.00","       2366.30","       2404.00","       2406.55","       2414.15","    1951215","          4710522347.20","      84910","    1024216","         52.49"
"HINDUNILVR","EQ","29-Apr-2021","       2406.55","       2433.00","       2448.95","       2384.15","       2422.15","       2407.60","       2419.82","    3151150","          7625229787.75","     141048","     946648","         30.04"
"HINDUNILVR","EQ","30-Apr-2021","       2407.60","       2410.00","       2442.90","       2330.25","       2350.00","       2353.75","       2363.99","    4010778","          9481448346.45","     170223","    2038288","         50.82"
"HINDUNILVR","EQ","03-May-2021","       2353.75","       2343.00","       2415.00","       2340.00","       2401.60","       2408.00","       2395.00","    1692239","          4052915865.15","      80521","     703310","         41.56"
"HINDUNILVR","EQ","04-May-2021","       2408.00","       2409.20","       2418.20","       2372.20","       2409.00","       2407.65","       2395.49","    1453111","          3480914307.65","      80821","     772815","         53.18"
"HINDUNILVR","EQ","05-May-2021","       2407.65","       2434.00","       2434.00","       2368.65","       2395.00","       2394.65","       2390.99","    1256857","          3005134351.50","      74506","     573572","         45.64"
"HINDUNILVR","EQ","06-May-2021","       2394.65","       2400.00","       2416.55","       2377.05","       2393.70","       2390.00","       2388.64","    1377740","          3290925674.20","      53869","     859797","         62.41"
"HINDUNILVR","EQ","07-May-2021","       2390.00","       2408.80","       2424.00","       2397.15","       2411.10","       2411.20","       2410.82","    1169518","          2819502767.05","      57838","     575698","         49.23"
"HINDUNILVR","EQ","10-May-2021","       2411.20","       2423.00","       2446.95","       2416.00","       2431.25","       2432.90","       2433.35","     988495","          2405355043.90","      55244","     567033","         57.36"
"HINDUNILVR","EQ","11-May-2021","       2432.90","       2425.00","       2426.00","       2394.25","       2409.50","       2402.10","       2403.64","    1019077","          2449492374.70","      65380","     621302","         60.97"
"HINDUNILVR","EQ","12-May-2021","       2402.10","       2389.00","       2389.00","       2325.05","       2329.45","       2328.95","       2341.16","    2053932","          4808587253.50","     167170","    1186246","         57.75"
"HINDUNILVR","EQ","14-May-2021","       2328.95","       2328.90","       2382.40","       2326.00","       2376.00","       2376.85","       2361.15","    1388970","          3279564500.20","      75762","     574343","         41.35"
