"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","15-May-2020","        167.95","        167.95","        168.25","        164.70","        166.45","        166.40","        166.17","   35498484","          5898769442.60","     225551","    6968087","         19.63"
"SBIN","N2","15-May-2020","      10869.00","      11440.00","      11450.00","      10861.20","      10930.00","      10930.00","      10917.05","        240","             2620091.35","         62","        219","         91.25"
"SBIN","N5","15-May-2020","      11187.15","      11187.15","      11194.00","      11180.00","      11185.00","      11187.01","      11185.09","        198","             2214648.03","         57","        187","         94.44"
"SBIN","N6","15-May-2020","      10810.00","      10823.00","      10823.00","      10823.00","      10823.00","      10823.00","      10823.00","          2","               21646.00","          1","          2","        100.00"
"SBIN","EQ","18-May-2020","        166.40","        166.40","        166.40","        155.00","        155.45","        155.30","        157.74","   77350889","         12201168539.80","     585750","   28349251","         36.65"
"SBIN","N2","18-May-2020","      10930.00","      10935.00","      11138.00","      10918.00","      10926.30","      10926.53","      10934.91","         37","              404591.60","         20","         37","        100.00"
"SBIN","N5","18-May-2020","      11187.01","      11187.01","      11230.00","      11187.01","      11220.00","      11206.34","      11207.25","        353","             3956158.42","         97","        344","         97.45"
"SBIN","N6","18-May-2020","      10823.00","      10820.00","      10900.00","      10820.00","      10871.00","      10895.16","      10890.03","         34","              370261.00","         17","         34","        100.00"
"SBIN","EQ","19-May-2020","        155.30","        157.50","        157.85","        152.40","        153.05","        152.80","        154.90","   71522983","         11079136483.20","     402913","   18090042","         25.29"
"SBIN","N2","19-May-2020","      10926.53","      10950.00","      10979.00","      10950.00","      10979.00","      10971.76","      10960.54","         37","              405540.00","         11","         37","        100.00"
"SBIN","N5","19-May-2020","      11206.34","      11210.00","      11242.00","      11190.00","      11190.02","      11206.62","      11222.63","        939","            10538049.87","        201","        927","         98.72"
"SBIN","EQ","20-May-2020","        152.80","        153.00","        155.25","        151.15","        153.60","        153.40","        152.99","   66178068","         10124624876.60","     339861","   23149357","         34.98"
"SBIN","N2","20-May-2020","      10971.76","      11099.00","      11100.00","      10951.00","      10951.00","      10951.00","      11025.20","         20","              220504.00","          5","         16","         80.00"
"SBIN","N5","20-May-2020","      11206.62","      11229.00","      11244.00","      11190.00","      11212.00","      11218.06","      11213.05","        747","             8376148.88","         91","        703","         94.11"
"SBIN","N6","20-May-2020","      10895.16","      10856.00","      10856.00","      10852.10","      10852.10","      10852.10","      10854.82","          5","               54274.10","          4","          5","        100.00"
"SBIN","EQ","21-May-2020","        153.40","        153.65","        156.15","        151.50","        152.00","        151.95","        154.02","   61150189","          9418429265.70","     358655","   21174615","         34.63"
"SBIN","N2","21-May-2020","      10951.00","      11049.80","      11049.80","      10953.00","      11000.00","      11000.00","      11000.23","         12","              132002.80","          3","         12","        100.00"
