"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MRF","EQ","04-May-2020","      60510.65","      59499.95","      59499.95","      57700.00","      58000.00","      57987.30","      58277.47","       9677","           563951094.50","       6815","       2982","         30.82"
"MRF","EQ","05-May-2020","      57987.30","      58647.00","      59350.00","      57500.00","      57600.00","      57750.00","      58397.87","       9615","           561495560.50","       6713","       1588","         16.52"
"MRF","EQ","06-May-2020","      57750.00","      58350.00","      58790.00","      57200.10","      58500.00","      58362.70","      58004.16","       8360","           484914739.85","       5729","        951","         11.38"
"MRF","EQ","07-May-2020","      58362.70","      58000.00","      59000.00","      58000.00","      58690.00","      58831.05","      58645.38","       7492","           439371170.35","       5167","       1437","         19.18"
"MRF","EQ","08-May-2020","      58831.05","      58902.00","      59783.05","      58450.00","      58642.05","      58874.90","      59142.26","       9752","           576755328.20","       6082","       2170","         22.25"
"MRF","EQ","11-May-2020","      58874.90","      59025.00","      59450.00","      58286.00","      58700.00","      58791.20","      58765.06","      12171","           715229603.40","       8219","       3266","         26.83"
"MRF","EQ","12-May-2020","      58791.20","      58500.00","      58629.90","      57318.85","      57505.05","      57632.10","      57867.38","       8179","           473297313.65","       5954","       3003","         36.72"
"MRF","EQ","13-May-2020","      57632.10","      58850.00","      60200.00","      58221.50","      59900.00","      59645.15","      59260.17","      16233","           961970413.95","      10975","       5702","         35.13"
"MRF","EQ","14-May-2020","      59645.15","      58676.00","      59125.00","      57925.40","      58200.00","      58132.60","      58426.99","       6586","           384800180.35","       4637","       1452","         22.05"
"MRF","EQ","15-May-2020","      58132.60","      58751.00","      58751.00","      57775.00","      58200.00","      58135.55","      58195.18","       8050","           468471239.20","       5910","       2735","         33.98"
"MRF","EQ","18-May-2020","      58135.55","      58235.00","      58499.95","      56150.00","      56350.00","      56356.05","      56916.62","       9020","           513387929.65","       6148","       2196","         24.35"
