"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","15-May-2020","       1522.40","       1529.00","       1560.00","       1510.00","       1555.00","       1552.95","       1534.04","    2860615","          4388306083.10","     103725","     741904","         25.94"
"ASIANPAINT","EQ","18-May-2020","       1552.95","       1558.00","       1558.55","       1498.10","       1501.00","       1501.10","       1512.52","    2871937","          4343866641.65","     127811","    1004577","         34.98"
"ASIANPAINT","EQ","19-May-2020","       1501.10","       1510.00","       1516.95","       1482.95","       1504.40","       1503.95","       1501.44","    3164137","          4750748443.65","     127103","    1283839","         40.57"
"ASIANPAINT","EQ","20-May-2020","       1503.95","       1503.95","       1514.00","       1492.65","       1501.00","       1500.05","       1501.71","    2057409","          3089633801.35","     101792","     906342","         44.05"
"ASIANPAINT","EQ","21-May-2020","       1500.05","       1503.00","       1583.50","       1501.00","       1577.50","       1574.30","       1548.95","    3846059","          5957344111.95","     173384","    1355479","         35.24"
"ASIANPAINT","EQ","22-May-2020","       1574.30","       1568.80","       1625.00","       1555.40","       1613.05","       1617.90","       1603.55","    5203737","          8344441605.05","     184528","    1594454","         30.64"
"ASIANPAINT","EQ","26-May-2020","       1617.90","       1625.00","       1656.95","       1620.00","       1630.00","       1629.85","       1638.73","    3552863","          5822182894.10","     142813","    1336489","         37.62"
"ASIANPAINT","EQ","27-May-2020","       1629.85","       1631.00","       1636.85","       1595.95","       1616.20","       1619.45","       1616.77","    2260057","          3653983298.95","      78042","     784149","         34.70"
"ASIANPAINT","EQ","28-May-2020","       1619.45","       1622.00","       1656.95","       1615.25","       1641.95","       1643.60","       1642.43","    3138920","          5155460140.15","     112868","    1148895","         36.60"
"ASIANPAINT","EQ","29-May-2020","       1643.60","       1639.00","       1699.00","       1633.10","       1675.00","       1683.10","       1670.82","    3533009","          5903021959.20","     105847","    1707464","         48.33"
"ASIANPAINT","EQ","01-Jun-2020","       1683.10","       1706.50","       1711.90","       1681.50","       1692.00","       1693.25","       1694.30","    2529270","          4285354677.95","      81880","     981645","         38.81"
"ASIANPAINT","EQ","02-Jun-2020","       1693.25","       1693.25","       1733.00","       1680.00","       1707.25","       1709.30","       1715.06","    2440602","          4185769379.95","      77580","     894471","         36.65"
"ASIANPAINT","EQ","03-Jun-2020","       1709.30","       1724.00","       1744.00","       1705.85","       1720.75","       1716.55","       1720.58","    3088907","          5314701625.35","      95511","    1381261","         44.72"
"ASIANPAINT","EQ","04-Jun-2020","       1716.55","       1716.45","       1719.60","       1627.00","       1636.90","       1633.75","       1656.44","    4388932","          7270019712.65","     167841","    1806693","         41.16"
"ASIANPAINT","EQ","05-Jun-2020","       1633.75","       1650.00","       1659.35","       1621.00","       1640.90","       1638.55","       1637.59","    2884206","          4723154108.60","     134492","     875422","         30.35"
"ASIANPAINT","EQ","08-Jun-2020","       1638.55","       1657.00","       1666.00","       1629.00","       1637.75","       1634.25","       1646.76","    2046545","          3370163898.00","      98213","     453850","         22.18"
"ASIANPAINT","EQ","09-Jun-2020","       1634.25","       1640.00","       1695.00","       1636.75","       1640.05","       1642.05","       1669.55","    3671965","          6130517886.45","     163136","     714406","         19.46"
"ASIANPAINT","EQ","10-Jun-2020","       1642.05","       1648.00","       1675.10","       1627.90","       1639.25","       1635.95","       1646.05","    2069326","          3406213947.70","      95873","     512482","         24.77"
"ASIANPAINT","EQ","11-Jun-2020","       1635.95","       1635.95","       1646.00","       1607.00","       1610.70","       1610.60","       1623.00","    1888436","          3064940120.80","      90713","     494924","         26.21"
"ASIANPAINT","EQ","12-Jun-2020","       1610.60","       1580.00","       1642.95","       1577.50","       1633.85","       1637.35","       1613.08","    2391556","          3857776296.35","      77044","     593144","         24.80"
"ASIANPAINT","EQ","15-Jun-2020","       1637.35","       1629.00","       1650.65","       1602.10","       1617.00","       1618.20","       1620.67","    1681190","          2724656459.55","      65371","     306104","         18.21"
"ASIANPAINT","EQ","16-Jun-2020","       1618.20","       1639.00","       1640.25","       1607.65","       1624.00","       1621.70","       1622.03","    1497691","          2429293092.70","      54440","     360173","         24.05"
"ASIANPAINT","EQ","17-Jun-2020","       1621.70","       1607.55","       1622.65","       1590.40","       1595.00","       1595.40","       1607.03","    1812882","          2913349374.95","      72157","     823544","         45.43"
"ASIANPAINT","EQ","18-Jun-2020","       1595.40","       1595.40","       1612.20","       1587.30","       1589.50","       1597.80","       1598.18","    1417293","          2265086378.10","      61449","     438375","         30.93"
"ASIANPAINT","EQ","19-Jun-2020","       1597.80","       1597.80","       1630.00","       1591.05","       1624.40","       1622.50","       1615.29","    2714342","          4384458009.80","      84107","    1459103","         53.76"
"ASIANPAINT","EQ","22-Jun-2020","       1622.50","       1633.00","       1673.50","       1624.00","       1650.15","       1652.15","       1650.05","    2034762","          3357455044.50","      96468","     813323","         39.97"
"ASIANPAINT","EQ","23-Jun-2020","       1652.15","       1659.85","       1689.00","       1641.00","       1688.95","       1683.90","       1671.26","    2335063","          3902504111.55","     151394","     488743","         39.45"
"ASIANPAINT","EQ","24-Jun-2020","       1683.90","       1684.00","       1813.75","       1684.00","       1748.00","       1747.25","       1768.07","   11545936","         20413977025.95","     351347","    2416417","         20.93"
"ASIANPAINT","EQ","25-Jun-2020","       1747.25","       1740.00","       1747.00","       1683.15","       1692.55","       1689.00","       1710.29","    4054986","          6935185698.15","     148606","    1308496","         32.27"
"ASIANPAINT","EQ","26-Jun-2020","       1689.00","       1710.00","       1710.35","       1670.70","       1693.00","       1686.75","       1686.33","    2130096","          3592037427.55","      99306","     313612","         14.72"
"ASIANPAINT","EQ","29-Jun-2020","       1686.75","       1687.00","       1708.45","       1674.05","       1695.00","       1691.95","       1688.97","    2753482","          4650536117.50","     127527","     769198","         27.94"
"ASIANPAINT","EQ","30-Jun-2020","       1691.95","       1708.90","       1718.00","       1681.65","       1687.00","       1687.45","       1695.18","    1960731","          3323782713.40","      93050","     719681","         36.70"
"ASIANPAINT","EQ","01-Jul-2020","       1687.45","       1698.00","       1698.00","       1680.05","       1687.40","       1688.00","       1688.93","    1661301","          2805818190.30","      57277","     643113","         38.71"
"ASIANPAINT","EQ","02-Jul-2020","       1688.00","       1700.00","       1704.00","       1660.10","       1689.00","       1686.45","       1681.63","    2038399","          3427829697.45","      77833","     752548","         36.92"
"ASIANPAINT","EQ","03-Jul-2020","       1686.45","       1695.40","       1720.00","       1690.00","       1696.65","       1695.65","       1702.81","    1988941","          3386779496.65","      96420","     548008","         27.55"
"ASIANPAINT","EQ","06-Jul-2020","       1695.65","       1708.95","       1712.00","       1692.15","       1708.65","       1708.85","       1704.18","    1236745","          2107637025.05","      56629","     378705","         30.62"
"ASIANPAINT","EQ","07-Jul-2020","       1708.85","       1708.95","       1749.90","       1705.85","       1746.05","       1745.75","       1736.15","    2983383","          5179612175.20","     106413","    1064797","         35.69"
"ASIANPAINT","EQ","08-Jul-2020","       1745.75","       1750.00","       1761.80","       1680.05","       1689.00","       1686.25","       1712.67","    2725947","          4668655187.50","      99542","     808218","         29.65"
"ASIANPAINT","EQ","09-Jul-2020","       1686.25","       1694.00","       1722.00","       1692.10","       1715.85","       1717.25","       1707.73","    1904670","          3252661393.55","      87231","     757314","         39.76"
"ASIANPAINT","EQ","10-Jul-2020","       1717.25","       1707.95","       1711.00","       1695.20","       1705.00","       1703.50","       1702.47","    1156048","          1968139427.35","      56610","     413921","         35.80"
"ASIANPAINT","EQ","13-Jul-2020","       1703.50","       1708.00","       1732.90","       1700.00","       1705.00","       1705.65","       1716.29","    1289791","          2213649824.10","      57914","     377841","         29.29"
"ASIANPAINT","EQ","14-Jul-2020","       1705.65","       1705.65","       1718.00","       1682.10","       1692.50","       1688.40","       1696.05","    1347140","          2284814263.75","      53759","     531143","         39.43"
"ASIANPAINT","EQ","15-Jul-2020","       1688.40","       1700.00","       1713.60","       1663.30","       1679.50","       1671.65","       1682.87","    1611411","          2711791833.25","      56608","     683229","         42.40"
"ASIANPAINT","EQ","16-Jul-2020","       1671.65","       1679.80","       1697.10","       1645.10","       1694.00","       1693.20","       1672.81","    1442725","          2413397703.35","      64168","     361703","         25.07"
"ASIANPAINT","EQ","17-Jul-2020","       1693.20","       1695.00","       1742.50","       1689.75","       1722.00","       1717.90","       1721.33","    2308827","          3974250423.50","      81773","     778099","         33.70"
"ASIANPAINT","EQ","20-Jul-2020","       1717.90","       1727.00","       1757.35","       1720.25","       1752.00","       1751.60","       1738.51","    1848600","          3213805540.60","      62666","     869268","         47.02"
